antecedents,consequents,support,confidence,lift
"frozenset({'tenure=veteran', 'review_count=Medium'})","frozenset({'seller_conc=Low', 'burst=Normal'})",0.06316347583536,0.8313106796116505,7.00615386320246
"frozenset({'seller_conc=Low', 'burst=Normal'})","frozenset({'tenure=veteran', 'review_count=Medium'})",0.06316347583536,0.5323317035262117,7.00615386320246
frozenset({'review_count=Medium'}),"frozenset({'seller_conc=Low', 'burst=Normal'})",0.1118116468224238,0.6818171168849425,5.7462459518654985
"frozenset({'seller_conc=Low', 'burst=Normal'})",frozenset({'review_count=Medium'}),0.1118116468224238,0.9423307321179938,5.7462459518654985
"frozenset({'tenure=veteran', 'seller_conc=Low'})","frozenset({'review_count=Medium', 'burst=Normal'})",0.06316347583536,0.631094049904031,5.6442603953979615
"frozenset({'review_count=Medium', 'burst=Normal'})","frozenset({'tenure=veteran', 'seller_conc=Low'})",0.06316347583536,0.564909628204247,5.6442603953979615
"frozenset({'tenure=veteran', 'seller_conc=Low', 'burst=Normal'})",frozenset({'review_count=Medium'}),0.06316347583536,0.9057352211999341,5.523089899216439
frozenset({'review_count=Medium'}),"frozenset({'tenure=veteran', 'seller_conc=Low', 'burst=Normal'})",0.06316347583536,0.38516505400276446,5.523089899216439
frozenset({'seller_conc=Low'}),frozenset({'burst=Bursty'}),0.0735216711426672,0.38257462164377526,5.203562646194448
frozenset({'seller_conc=Low'}),"frozenset({'tenure=veteran', 'review_count=Medium'})",0.0759805899099805,0.39536975949139325,5.203562646194448
frozenset({'seller_conc=Low'}),"frozenset({'review_count=Medium', 'burst=Normal'})",0.1118116468224238,0.5818189088146506,5.203562646194448
frozenset({'seller_conc=Low'}),"frozenset({'review_count=Medium', 'burst=Bursty'})",0.0521790246545027,0.2715168236070294,5.203562646194448
"frozenset({'review_count=Medium', 'burst=Normal'})",frozenset({'seller_conc=Low'}),0.1118116468224238,1.0,5.203562646194447
"frozenset({'tenure=veteran', 'review_count=Medium'})",frozenset({'seller_conc=Low'}),0.0759805899099805,1.0,5.203562646194447
"frozenset({'review_count=Medium', 'burst=Bursty'})",frozenset({'seller_conc=Low'}),0.0521790246545027,1.0,5.203562646194447
frozenset({'seller_conc=Low'}),"frozenset({'tenure=veteran', 'review_count=Medium', 'burst=Normal'})",0.06316347583536,0.3286751034606849,5.203562646194447
frozenset({'burst=Bursty'}),frozenset({'seller_conc=Low'}),0.0735216711426672,1.0,5.203562646194447
"frozenset({'tenure=veteran', 'review_count=Medium', 'burst=Normal'})",frozenset({'seller_conc=Low'}),0.06316347583536,1.0,5.203562646194447
frozenset({'review_count=Medium'}),frozenset({'seller_conc=Low'}),0.1639906714769265,1.0,5.203562646194447
frozenset({'seller_conc=Low'}),frozenset({'review_count=Medium'}),0.1639906714769265,0.8533357324216799,5.203562646194447
frozenset({'review_count=Medium'}),"frozenset({'tenure=veteran', 'seller_conc=Low'})",0.0759805899099805,0.46332263430405535,4.629260087860143
"frozenset({'tenure=veteran', 'seller_conc=Low'})",frozenset({'review_count=Medium'}),0.0759805899099805,0.7591554702495205,4.629260087860142
"frozenset({'seller_conc=Low', 'burst=Normal'})",frozenset({'tenure=veteran'}),0.0697372414773491,0.5877343522326196,4.538471903994826
frozenset({'tenure=veteran'}),"frozenset({'seller_conc=Low', 'burst=Normal'})",0.0697372414773491,0.5385094641903518,4.538471903994826
frozenset({'tenure=veteran'}),"frozenset({'review_count=Medium', 'seller_conc=Low', 'burst=Normal'})",0.06316347583536,0.48774698866670624,4.362219880736867
"frozenset({'review_count=Medium', 'seller_conc=Low', 'burst=Normal'})",frozenset({'tenure=veteran'}),0.06316347583536,0.564909628204247,4.362219880736867
frozenset({'tenure=veteran'}),"frozenset({'review_count=Medium', 'burst=Normal'})",0.06316347583536,0.48774698866670624,4.362219880736867
"frozenset({'review_count=Medium', 'burst=Normal'})",frozenset({'tenure=veteran'}),0.06316347583536,0.564909628204247,4.362219880736867
frozenset({'burst=Bursty'}),frozenset({'review_count=Medium'}),0.0521790246545027,0.7097094481605355,4.327742802494663
"frozenset({'seller_conc=Low', 'burst=Bursty'})",frozenset({'review_count=Medium'}),0.0521790246545027,0.7097094481605355,4.327742802494663
frozenset({'burst=Bursty'}),"frozenset({'review_count=Medium', 'seller_conc=Low'})",0.0521790246545027,0.7097094481605355,4.327742802494663
frozenset({'review_count=Medium'}),"frozenset({'seller_conc=Low', 'burst=Bursty'})",0.0521790246545027,0.3181828831150575,4.3277428024946625
"frozenset({'review_count=Medium', 'seller_conc=Low'})",frozenset({'burst=Bursty'}),0.0521790246545027,0.3181828831150575,4.3277428024946625
frozenset({'review_count=Medium'}),frozenset({'burst=Bursty'}),0.0521790246545027,0.3181828831150575,4.3277428024946625
frozenset({'tenure=veteran'}),frozenset({'seller_conc=Low'}),0.1000856779507985,0.7728594315552124,4.0216224687997775
frozenset({'seller_conc=Low'}),frozenset({'tenure=veteran'}),0.1000856779507985,0.5208020952038223,4.0216224687997775
"frozenset({'review_count=Medium', 'seller_conc=Low'})","frozenset({'tenure=veteran', 'burst=Normal'})",0.06316347583536,0.38516505400276446,3.8845896369464694
frozenset({'review_count=Medium'}),"frozenset({'tenure=veteran', 'burst=Normal'})",0.06316347583536,0.38516505400276446,3.8845896369464694
"frozenset({'tenure=veteran', 'burst=Normal'})",frozenset({'review_count=Medium'}),0.06316347583536,0.6370364629751616,3.884589636946469
"frozenset({'tenure=veteran', 'burst=Normal'})","frozenset({'review_count=Medium', 'seller_conc=Low'})",0.06316347583536,0.6370364629751616,3.884589636946469
"frozenset({'tenure=veteran', 'burst=Normal'})",frozenset({'seller_conc=Low'}),0.0697372414773491,0.7033363041035375,3.6598545197456263
frozenset({'seller_conc=Low'}),"frozenset({'tenure=veteran', 'burst=Normal'})",0.0697372414773491,0.36288210480017585,3.6598545197456263
"frozenset({'review_count=Medium', 'seller_conc=Low'})",frozenset({'tenure=veteran'}),0.0759805899099805,0.46332263430405535,3.5777673200248223
frozenset({'tenure=veteran'}),"frozenset({'review_count=Medium', 'seller_conc=Low'})",0.0759805899099805,0.5867204651990744,3.5777673200248223
frozenset({'review_count=Medium'}),frozenset({'tenure=veteran'}),0.0759805899099805,0.46332263430405535,3.5777673200248223
frozenset({'tenure=veteran'}),frozenset({'review_count=Medium'}),0.0759805899099805,0.5867204651990744,3.5777673200248223
frozenset({'seller_conc=High'}),"frozenset({'burst=Normal', 'review_count=Low'})",0.8078239721527449,1.0,1.2378934451959023
frozenset({'review_count=Low'}),"frozenset({'burst=Normal', 'seller_conc=High'})",0.8078239721527449,1.0,1.2378934451959023
"frozenset({'burst=Normal', 'seller_conc=High'})",frozenset({'review_count=Low'}),0.8078239721527449,1.0,1.2378934451959023
"frozenset({'burst=Normal', 'review_count=Low'})",frozenset({'seller_conc=High'}),0.8078239721527449,1.0,1.2378934451959023
frozenset({'review_count=Low'}),frozenset({'seller_conc=High'}),0.8078239721527449,1.0,1.2378934451959023
frozenset({'seller_conc=High'}),frozenset({'review_count=Low'}),0.8078239721527449,1.0,1.2378934451959023
frozenset({'seller_conc=High'}),"frozenset({'tenure=new', 'review_count=Low'})",0.7301989803171237,0.9039085314232991,1.2378934451959023
frozenset({'review_count=Low'}),"frozenset({'tenure=new', 'seller_conc=High'})",0.7301989803171237,0.9039085314232991,1.2378934451959023
"frozenset({'burst=Normal', 'review_count=Low'})","frozenset({'tenure=new', 'seller_conc=High'})",0.7301989803171237,0.9039085314232991,1.2378934451959023
"frozenset({'burst=Normal', 'seller_conc=High'})","frozenset({'tenure=new', 'review_count=Low'})",0.7301989803171237,0.9039085314232991,1.2378934451959023
"frozenset({'tenure=new', 'review_count=Low'})",frozenset({'seller_conc=High'}),0.7301989803171237,1.0,1.2378934451959023
"frozenset({'tenure=new', 'seller_conc=High'})",frozenset({'review_count=Low'}),0.7301989803171237,1.0,1.2378934451959023
"frozenset({'tenure=new', 'review_count=Low'})","frozenset({'burst=Normal', 'seller_conc=High'})",0.7301989803171237,1.0,1.2378934451959023
"frozenset({'tenure=new', 'seller_conc=High'})","frozenset({'burst=Normal', 'review_count=Low'})",0.7301989803171237,1.0,1.2378934451959023
frozenset({'seller_conc=High'}),"frozenset({'tenure=new', 'burst=Normal', 'review_count=Low'})",0.7301989803171237,0.9039085314232991,1.2378934451959023
frozenset({'review_count=Low'}),"frozenset({'tenure=new', 'burst=Normal', 'seller_conc=High'})",0.7301989803171237,0.9039085314232991,1.2378934451959023
"frozenset({'tenure=new', 'burst=Normal', 'review_count=Low'})",frozenset({'seller_conc=High'}),0.7301989803171237,1.0,1.2378934451959023
"frozenset({'tenure=new', 'burst=Normal', 'seller_conc=High'})",frozenset({'review_count=Low'}),0.7301989803171237,1.0,1.2378934451959023
"frozenset({'tenure=new', 'burst=Normal'})",frozenset({'review_count=Low'}),0.7301989803171237,0.9919984132535089,1.2279883334112545
frozenset({'review_count=Low'}),"frozenset({'tenure=new', 'burst=Normal'})",0.7301989803171237,0.9039085314232991,1.2279883334112545
"frozenset({'tenure=new', 'burst=Normal'})","frozenset({'review_count=Low', 'seller_conc=High'})",0.7301989803171237,0.9919984132535089,1.2279883334112545
"frozenset({'review_count=Low', 'seller_conc=High'})","frozenset({'tenure=new', 'burst=Normal'})",0.7301989803171237,0.9039085314232991,1.2279883334112545
"frozenset({'tenure=new', 'burst=Normal'})",frozenset({'seller_conc=High'}),0.7301989803171237,0.9919984132535089,1.2279883334112545
frozenset({'seller_conc=High'}),"frozenset({'tenure=new', 'burst=Normal'})",0.7301989803171237,0.9039085314232991,1.2279883334112545
