dbscan_cluster,size,spam_rate_mean
-1,9021,0.11022823150411899
0,81203,0.29343743457754023
1,223,0.02242152466367713
2,2451,0.08839929280565754
3,5383,0.03832772087599376
4,56,0.044642857142857144
5,13156,0.2304651869869261
6,44220,0.24274084124830395
7,279,0.27956989247311825
8,9762,0.032212690291613395
9,4541,0.02081616174327031
10,5147,0.09879541480474062
11,12421,0.31986152483696967
12,198,0.1276936026936027
13,19051,0.4767728728150753
14,1922,0.017871794709647434
15,1699,0.08181283107710417
16,5553,0.09229245452908338
17,95,0.2245614035087719
18,1016,0.08809055118110236
19,1191,0.16078925272879932
20,177,0.09416195856873824
21,2780,0.047961630695443645
22,3006,0.0854956753160346
23,1302,0.12864823348694315
24,401,0.0798004987531172
25,547,0.4012797074954296
26,352,0.19744318181818182
27,87,0.41762452107279696
28,236,0.2764830508474576
29,185,0.2810810810810811
30,512,0.2685546875
31,1128,0.24113475177304963
32,3236,0.22635970333745364
33,234,0.21794871794871795
34,1001,0.23143523143523143
35,1646,0.21931956257594168
36,167,0.2534930139720559
37,2688,0.26915922619047616
38,922,0.21420824295010846
39,78,0.16666666666666666
40,610,0.27377049180327867
41,264,0.3055555555555556
42,360,0.3625
43,99,0.1414141414141414
44,430,0.14418604651162792
45,191,0.059336823734729496
46,299,0.13879598662207357
47,131,0.06297709923664122
48,90,0.5277777777777778
49,88,0.39204545454545453
50,503,0.09940357852882704
51,88,0.3693181818181818
52,377,0.09018567639257294
53,569,0.11482132396016402
54,802,0.017696376321678392
55,95,0.04473684210526316
56,24,0.2986111111111111
57,232,0.1896551724137931
58,89,0.2516853932584269
59,16,0.0
60,71,0.29577464788732394
61,1826,0.07228915662650602
62,562,0.05219454329774614
63,722,0.0443213296398892
64,20,0.11000000000000001
65,40,0.1
66,256,0.2666015625
67,751,0.04660452729693742
68,509,0.1974459724950884
69,592,0.04560810810810811
70,451,0.10199556541019955
71,80,0.225
72,503,0.055666003976143144
73,185,0.22972972972972974
74,391,0.12617220801364024
75,219,0.2191780821917808
76,36,0.32407407407407407
77,570,0.10526315789473684
78,423,0.2565011820330969
79,151,0.2891832229580574
80,303,0.27722772277227725
81,57,0.14035087719298245
82,96,0.15625
83,716,0.1452513966480447
84,80,0.20625
85,122,0.018442622950819672
86,57,0.37719298245614036
87,19,0.21052631578947367
88,213,0.05845070422535211
89,74,0.19189189189189187
90,66,0.2727272727272727
91,146,0.2488584474885845
92,201,0.21144278606965175
93,84,0.10714285714285714
94,51,0.3137254901960784
95,172,0.18313953488372092
96,233,0.057418761496014714
97,36,0.0763888888888889
98,34,0.18627450980392157
99,44,0.07521645021645021
100,216,0.125
101,343,0.22157434402332363
102,249,0.20481927710843373
103,133,0.20300751879699247
104,52,0.23557692307692307
105,336,0.19642857142857142
106,35,0.2714285714285714
107,26,0.16153846153846155
108,31,0.03225806451612903
109,168,0.22023809523809523
110,52,0.17307692307692307
111,35,0.22857142857142856
112,99,0.004208754208754209
113,46,0.09782608695652174
114,101,0.09240924092409242
115,144,0.06712962962962962
116,53,0.0010198878123406415
117,25,0.04
118,21,0.047619047619047616
119,54,0.023148148148148147
120,14,0.16071428571428573
121,158,0.06329113924050633
122,15,0.14666666666666667
123,38,0.30701754385964913
124,160,0.175
125,92,0.19021739130434784
126,32,0.13541666666666666
127,54,0.13580246913580246
128,32,0.09375
129,28,0.20238095238095238
130,14,0.21428571428571427
131,19,0.10526315789473684
132,56,0.2857142857142857
133,23,0.13043478260869565
134,53,0.018867924528301886
135,60,0.10555555555555556
136,25,0.16
137,15,0.07619047619047618
138,125,0.13333333333333333
139,43,0.1937984496124031
140,34,0.058823529411764705
141,55,0.3090909090909091
142,120,0.19166666666666668
143,13,0.15384615384615385
144,17,0.23529411764705882
145,10,0.1
146,13,0.5384615384615384
147,16,0.35416666666666663
148,72,0.14583333333333334
149,16,0.453125
150,27,0.14814814814814814
151,13,0.15384615384615385
152,19,0.3333333333333333
153,17,0.29411764705882354
154,67,0.01417910447761194
155,24,0.17708333333333334
156,18,0.3333333333333333
157,16,0.1875
158,14,0.0
159,12,0.027777777777777776
160,25,0.3
161,17,0.11764705882352941
162,20,0.1
163,15,0.13333333333333333
164,10,0.2
165,61,0.3114754098360656
166,19,0.3157894736842105
167,61,0.3989071038251366
168,28,0.03571428571428571
169,22,0.21212121212121213
170,12,0.16666666666666666
171,20,0.1625
172,10,0.2
173,23,0.27950310559006214
174,17,0.17647058823529413
175,13,0.2564102564102564
176,15,0.13333333333333333
177,10,0.0
178,14,0.07142857142857142
179,11,0.20454545454545456
180,22,0.1
181,17,0.0980392156862745
182,10,0.4
183,12,0.3333333333333333
184,15,0.08888888888888888
185,8,0.0
186,10,0.25
187,10,0.3
188,10,0.125
189,16,0.28125
190,17,0.004201680672268906
191,6,0.0
192,12,0.47222222222222215
193,8,0.0
194,11,0.20454545454545456
195,10,0.0
